id,ground_truth,noise_condition,snr_db,prediction,wer,cer,audio_seconds,process_seconds,rtf
D0001,༄༅། སྐུ་ཚབ་ཚུ་གིས་མཛད་པ་བཞུགས་སོ། མཛད་པ་ལེའུ་ 1 དམ་པའི་ཐུགས་ཉིད་གནང་ནི་ཟེར་བའི་ཁས་བླངས།,clean,,སྐུ་ཚ་ཚུ་གིས་མཛད་པ་བཞུགས་སོག་མཛད་པ་ལོཝ་དམ་པའི་ཐུགས་ཉིད་གནང་ནི་ཟེར་བའི་ཁས་ང་,0.2609,0.1954,5.136,3.268,0.6363
D0001,༄༅། སྐུ་ཚབ་ཚུ་གིས་མཛད་པ་བཞུགས་སོ། མཛད་པ་ལེའུ་ 1 དམ་པའི་ཐུགས་ཉིད་གནང་ནི་ཟེར་བའི་ཁས་བླངས།,snr_15db,15.0,སྐུ་ཚ་ཚུ་གིས་མཟད་པ་བཞུགས་སོག་མཛད་པ་ལོཝ་དམ་པའི་ཐུགས་ཉིད་གནང་ནི་ཟེར་བའི་ཁྱས་ལ་ང་,0.3913,0.2184,5.136,2.427,0.4726
D0002,1-2 ཡེ་ཤུ་གིས་ག་ཅི་མཛད་ཅི་ག་དང་ ག་ཅི་སྟོན་གནང་ཡི་ག་ དེ་ལས་ཁོ་ཡར་ཞིང་ཁམས་ལུ་མ་བསྣམ་པའི་ཉིནམ་ཚུན་ཚོད་ ཁོ་རང་གིས་བཙག་འཐུ་མཛད་གནང་མིའི་སྐུ་ཚབ་དེ་ཚུ་ལུ་ དམ་པའི་ཐུགས་ཉིད་ལས་སྦེ་ ག་ཅི་རང་བཀའ་གནང་ཡི་ག་ འདི་ཚུ་གི་སྐོར་ལས་ ནཱ་ ཐེའོ་ཕི་ལུས་ཀྱི་དོན་ལུ་ ང་གིས་ དེབ་དང་པོ་དེ་ནང་བྲིས་ཏེ་ཡོད།,clean,,ཡེ་ཤུ་གིས་ག་ཅི་མཛད་ཅིག་ག་དང་ག་ཅི་སྟོན་གནང་ཡི་ག་དེ་ལས་ཁོ་ཡར་ཞིང་ཁམས་ལུ་མ་གནམ་པའི་ཉིནམ་ཚུན་ཚོད་ཁོ་རང་གིས་བཙགས་འཐུ་ལྡད་གནང་མི་སྐུ་ཚབ་ད་ཚུ་ལུ་དམ་པའི་ཐུགས་ཉིད་ལས་སྦེ་ག་ཅི་རང་བཀའ་གནང་ཡི་ག་ལཱ་དེ་ཚུ་གི་སྐོར་ལས་གནག་ཐལའ་ཕའི་ལུས་ཀྱི་དྲནམ་ལུ་ང་གིས་དདབཔ་ད་པོ་དེ་ནང་འབྲིས་ཏེ་ཡོད,0.2208,0.1377,19.408,8.775,0.4521
D0002,1-2 ཡེ་ཤུ་གིས་ག་ཅི་མཛད་ཅི་ག་དང་ ག་ཅི་སྟོན་གནང་ཡི་ག་ དེ་ལས་ཁོ་ཡར་ཞིང་ཁམས་ལུ་མ་བསྣམ་པའི་ཉིནམ་ཚུན་ཚོད་ ཁོ་རང་གིས་བཙག་འཐུ་མཛད་གནང་མིའི་སྐུ་ཚབ་དེ་ཚུ་ལུ་ དམ་པའི་ཐུགས་ཉིད་ལས་སྦེ་ ག་ཅི་རང་བཀའ་གནང་ཡི་ག་ འདི་ཚུ་གི་སྐོར་ལས་ ནཱ་ ཐེའོ་ཕི་ལུས་ཀྱི་དོན་ལུ་ ང་གིས་ དེབ་དང་པོ་དེ་ནང་བྲིས་ཏེ་ཡོད།,snr_15db,15.0,ཡེ་ཤུ་གིས་ག་ཅི་མཛོད་ཅིག་ག་དང་ག་ཅི་སྟོན་གནང་ཡི་ག་དེ་ལས་ཁོ་ཡར་ཞིང་ཁམས་ལུ་མ་གདམ་པའི་ཉིནམ་ཚུན་ཚོད་ཁོ་རའང་གི་རསགས་ཐུ་སྡོ་གནང་མིའི་སྐུ་ཚབ་དེ་ཚུ་ལུ་དམ་པའི་ཐུགས་ཉིད་ལས་སྦེ་ག་ཅི་རང་བཀའ་གནང་ཡི་ག་ང་དེ་ཚུ་གི་སྐོར་ལས་གནག་ཆལའོ་པའི་མི་གི་ྡོནམ་ལུ་རང་གིས་དདབ་དག་པོ་དི་ནང་འབྲིས་ཏེ་ཡོད,0.2987,0.1703,19.408,8.855,0.4563
D0003,3 ཡེ་ཤུ་སྡུག་བསྔལ་བཞེས་པའི་ཤུལ་ལས་ ཞག་བཞི་བཅུ་ཚུན་ཚོད་ ཁོ་སྐུ་ཚབ་ཚུ་སྡོད་ས་ལུ་བྱོན་ཏེ་ ཁོ་སྐུ་གསོན་པོ་སྦེ་རང་ཡོད་ཟེར་ ཁོང་ཆ་ཁྱབ་ལུ་ངོ་རྟགས་ལེ་ཤ་ ཁོ་རང་གིས་མཛད་གནངམ་མ་ཚད་ དཀོན་མཆོག་གི་རྒྱལ་སྲིད་ཀྱི་སྐོར་ལས་གསུངས་ནུག 4 སྐུ་ཚབ་ཚུ་དང་མཉམ་གཅིག་བཞུགས་པའི་བསྒང་ ཁོ་གིས་ཁོང་ལུ་རྒྱལ་ས་ ཡེ་རུ་ཤ་ལེམ་ལས་ག་ཏེ་ཡང་མ་སོང་ དེ་འབདཝ་ད་ ང་གིས་སླབ་དོཝ་བཟུམ་སྦེ་ ཡབ་ཀྱིས་གནང་ནི་ཟེར་ ཁས་བླངས་བཞེས་མི་གསོལ་རས་འདི་ལུ་སྒུག་སྡོད།,clean,,ཡེ་ཤུ་སྡུག་བསྔལ་བཞེས་པའི་ཤུལ་ལས་ཞག་བཞི་བཅུ་ཚུན་ཚོད་ཁོ་སྐུ་ཚབ་ཚུ་སྡོད་ས་ལུ་བྱོན་ཏེ་ཁོ་སྐུ་གསོན་པོ་སྦེ་རང་ཡོད་ཟེར་ཁོང་ཆ་ཁྱབ་ལུ་ངོ་རྟགས་ལེ་ཤ་ཁོ་རང་གི་མཛད་གནངམ་མ་ཚད་དཀོན་མཆོག་གི་རྒྱལ་སྲིད་ཀྱི་སྐོར་ལས་སུངས་ནུག་ཡལ་སྐུ་ཚབ་ཚུ་དང་མཉམ་གཅིག་བཞུས་པའི་བསྒང་ཁོ་གིས་ཁོང་ལུ་དྲལ་ས་ཡེ་རུ་ཤ་ལེམ་ལས་ག་ཏེ་ཡང་མ་སོང་དེ་འབདཝ་ད་ག་གིས་སླབ་དོཝ་བཟུམ་སྦེ་ཡབ་ཀྱིས་གནང་ནི་ཟེར་ཁས་བླངས་བཞེས་མི་གསོལ་ལས་དི་ལུ་གུ་སྡོད,0.1038,0.0769,27.856,10.31,0.3701
D0003,3 ཡེ་ཤུ་སྡུག་བསྔལ་བཞེས་པའི་ཤུལ་ལས་ ཞག་བཞི་བཅུ་ཚུན་ཚོད་ ཁོ་སྐུ་ཚབ་ཚུ་སྡོད་ས་ལུ་བྱོན་ཏེ་ ཁོ་སྐུ་གསོན་པོ་སྦེ་རང་ཡོད་ཟེར་ ཁོང་ཆ་ཁྱབ་ལུ་ངོ་རྟགས་ལེ་ཤ་ ཁོ་རང་གིས་མཛད་གནངམ་མ་ཚད་ དཀོན་མཆོག་གི་རྒྱལ་སྲིད་ཀྱི་སྐོར་ལས་གསུངས་ནུག 4 སྐུ་ཚབ་ཚུ་དང་མཉམ་གཅིག་བཞུགས་པའི་བསྒང་ ཁོ་གིས་ཁོང་ལུ་རྒྱལ་ས་ ཡེ་རུ་ཤ་ལེམ་ལས་ག་ཏེ་ཡང་མ་སོང་ དེ་འབདཝ་ད་ ང་གིས་སླབ་དོཝ་བཟུམ་སྦེ་ ཡབ་ཀྱིས་གནང་ནི་ཟེར་ ཁས་བླངས་བཞེས་མི་གསོལ་རས་འདི་ལུ་སྒུག་སྡོད།,snr_15db,15.0,ཡེ་ཤུ་སྡུག་བསྔལ་བཞེས་པའི་ཤུལ་ལས་བཞག་བཞི་ཕུ་ཚུན་ཚོད་ཁོ་སྐུ་ཚབ་ཚུ་སྡོད་ས་ལུ་བྱོན་ཏེ་ཁོ་སྐུ་གསོན་པོ་སྦེ་རང་ཡོད་ཟེར་ཁོ་ཆ་ཁྱབ་ལུ་ངོ་རྟགས་ལེ་ཤ་ཁོ་རང་གི་མཛད་གནངམ་མ་ཚད་དཀོན་མཆོག་གི་རྒྱལ་སྲིད་ཀྱི་སྐོར་ལས་གསུངས་ལུག་ཟེར་སྐུ་ཚབ་ཚུ་དང་མཉམ་གཅིག་ཞུས་པའི་བསྒང་ཁོ་གིས་ཁོ་ལུ་རྒྱལ་ས་ཡེ་རུ་ཤ་ལེམ་ལས་ག་ཏེ་ཡང་མ་སོང་དེ་འབདཝ་ད་ག་གིས་སླབ་དོཝ་བཟུམ་སྦེ་ཡབ་གཅིག་གནང་ནི་ཟེར་ཐན་རངས་བཞེས་མི་གསོལ་རས་དི་ལུ་སགུ་སྡོད,0.1509,0.0968,27.856,7.636,0.2741
D0004,5 ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ ཡོ་ཧ་ནཱན་གྱིས་ ཆུའི་ཁྲུས་གསོལ་བྱིན་ཡི་ དེ་འབདཝ་ད་ ཉིནམ་དག་པ་གཅིག་གི་ཤུལ་ལས་ ཁྱེད་ཆ་ཁྱབ་ཀྱིས་ དམ་པའི་ཐུགས་ཉིད་ལས་ཁྲུས་གསོལ་ཐོབ་ནི་ཨིན་ཟེར་བཀའ་གནང་ནུག 6 ཁོང་ག་ར་མཉམ་གཅིག་འཛོམས་པའི་སྐབས་ལུ་ སྐུ་ཚབ་ཚུ་གིས་ཡེ་ཤུ་ལུ་ གཙོ་བོ་ལགས་ ད་རེས་ནངས་པ་གི་དུས་ཚོད་ལུ་རང་ ཨཱིས་ར་ཨཱེལ་གྱི་རྒྱལ་ཁབ་འདི་ ད་རུང་ལོག་སྟེ་ཁོང་རང་ལུ་གནང་ནི་ཨིན་ན་ཟེར་ཞུ་ནུག 7 དེ་ལས་ཡེ་ཤུ་གིས་ ངེ་གི་ཡབ་ཀྱི་དབང་ཚད་ཀྱི་འོག་ལུ་བཞག་མི་ དུས་ཚོད་དང་དུས་སྐབས་ཤེས་དགོཔ་དང་ འཚོལ་དགོཔ་འདི་ ཁྱེད་ཆ་ཁྱབ་ཀྱི་ལཱ་མེན།,clean,,ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ཡོ་ཧ་ནཱན་གྱི་སཅུའི་ཁྲུས་ཚོད་བྱིན་ཡི་དེ་འབདཝ་ད་ཨིནམ་དག་པ་གཅིག་གི་ཤུལ་ལས་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་དམ་པའི་ཐུགས་ཉིད་ལས་ཁྲུས་གཚོད་ཐོབ་ནི་ཨིན་ཟེར་བཀའ་གནང་ནུག་ཁོང་ག་ར་མཉམ་གཅིག་འཛོམ་པའི་སྐབས་ལུ་བུ་ཚབ་ཚུ་གིས་ཡེ་ཤུ་ལུ་གཙོ་བོ་ལགས་དེའི་ནངས་པ་གི་དུས་ཚོད་ལུ་རང་ཨཱིས་ར་ཨཱེལ་ཀྱི་རྒྱལ་ཁབ་འདི་ལེགས་རུང་ལོག་སྟེ་ཁོང་རང་ལུ་གནང་ནི་ཨིན་ན་ཟེར་ཞུ་ནུག་དེ་ལས་ཡེ་ཤུ་གིས་རེ་གི་ཡབ་ཀྱི་དབང་ཚད་ཀྱི་འོག་ལུ་བཞག་མི་དུས་ཚོད་དང་དུས་སྐབས་བཤེས་དགོཔ་དང་ང་འཚོད་དགོཔ་དི་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་ལཱ་མེན,0.1641,0.1021,32.08,9.184,0.2863
D0004,5 ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ ཡོ་ཧ་ནཱན་གྱིས་ ཆུའི་ཁྲུས་གསོལ་བྱིན་ཡི་ དེ་འབདཝ་ད་ ཉིནམ་དག་པ་གཅིག་གི་ཤུལ་ལས་ ཁྱེད་ཆ་ཁྱབ་ཀྱིས་ དམ་པའི་ཐུགས་ཉིད་ལས་ཁྲུས་གསོལ་ཐོབ་ནི་ཨིན་ཟེར་བཀའ་གནང་ནུག 6 ཁོང་ག་ར་མཉམ་གཅིག་འཛོམས་པའི་སྐབས་ལུ་ སྐུ་ཚབ་ཚུ་གིས་ཡེ་ཤུ་ལུ་ གཙོ་བོ་ལགས་ ད་རེས་ནངས་པ་གི་དུས་ཚོད་ལུ་རང་ ཨཱིས་ར་ཨཱེལ་གྱི་རྒྱལ་ཁབ་འདི་ ད་རུང་ལོག་སྟེ་ཁོང་རང་ལུ་གནང་ནི་ཨིན་ན་ཟེར་ཞུ་ནུག 7 དེ་ལས་ཡེ་ཤུ་གིས་ ངེ་གི་ཡབ་ཀྱི་དབང་ཚད་ཀྱི་འོག་ལུ་བཞག་མི་ དུས་ཚོད་དང་དུས་སྐབས་ཤེས་དགོཔ་དང་ འཚོལ་དགོཔ་འདི་ ཁྱེད་ཆ་ཁྱབ་ཀྱི་ལཱ་མེན།,snr_15db,15.0,ག་ཅི་སྨོ་ཟེར་བ་ཅིན་ཡོ་ཧ་ནཱན་གྱི་ྐུའི་ཐུས་ཚོད་བྱིན་ཡི་དེ་འབདཝ་ད་ཉིནམ་དག་པ་གཅིག་གི་ཤུལ་ལས་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་དམ་པའི་ཐུགས་ནི་ལས་ཐུས་གཚོད་ཐོབ་ནི་ཨིན་ཟེར་བཀའ་གནང་ལུ་ཁོང་ག་ར་མཉམ་གཅིག་འཛོམས་པའི་སྐབས་ལུ་སྐུ་ཚབ་ཚུ་གིས་ཡེ་ཤུ་ལུ་གཙོ་བོ་ལགས་ཟེི་ནངས་པ་གི་དུས་ཚོད་ལུ་རང་ཨཱིས་ར་ཨཱེལ་གྱི་རྒྱལ་ཁབ་འདི་ལེགས་རུང་ལོག་སྟེ་ཁོ་རང་ལུ་གནང་ནི་ཨིན་ན་ཟེར་ཞུ་ནུག་དེ་ལས་ཡེ་ཤུ་གིས་རེང་གྱི་ཡབ་ཀྱི་དབང་ཚད་ཀྱི་འོག་ལུ་བཞག་མི་དུས་ཚོད་དང་སྡིག་སྐབས་ཤེད་དགོཔ་དང་ང་ཚོད་དགོཔ་འདེ་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་ལཱ་མེན,0.1875,0.1229,32.08,9.149,0.2852
D0005,8 དམ་པའི་ཐུགས་ཉིད་ཁྱེད་གུ་འབྱོནམ་ད་ ཁྱེད་ཆ་ཁྱབ་ཀྱིས་སྟོབས་ཤུགས་དང་དབང་ཐོབ་ནི་ཨིན་ དེ་ལས་རྒྱལ་ས་ ཡེ་རུ་ཤ་ལེམ་དང་ ལུང་ཕྱོགས་ ཡུ་དེ་ཡ་ ལུང་ཕྱོགས་ ས་མ་རི་ཡ་ དེ་ལས་འཛམ་གླིང་གི་མཐའན་མཇུག་ཚུན་ཚོད་ ཁྱེད་ཆ་ཁྱབ་ངེ་གི་འཛོམ་དཔང་ བཤད་མི་སྦེ་འབྱུང་ནི་ཨིན་ཟེར་གསུངས་ནུག 9 ཁོ་གིས་འདི་གསུངས་ཚར་བའི་ཤུལ་ལས་ སྐུ་ཚབ་ཚུ་གིས་ཁོ་ལུ་ མཇལ་སྡོད་པའི་བར་ན་རང་ ཁོ་ཡར་ཞིང་ཁམས་ལུ་འཐུ་བསྣམས་ནུག་ དེ་ལས་ཁོང་གི་མིག་ཏོ་ཁ་རང་ ས་སྨུག་ནང་ཡལ་སོང་ནུག 10 ཁོ་ཡར་ཞིང་ཁམས་ལུ་འབྱོན་ས་ཁོང་གིས་མཇལ་སྡོདཔ་ད་ དེ་འཕྲོ་ལས་བགོ་ལ་དཀརཔོ་གྱོན་མིའི་མི་གཉིས་ཀྱིས་ ཁོང་གི་སྦོ་ལོགས་ཁར་ལོང་སྡོད་དེ།,clean,,དམ་པའི་ཐུགས་ཉིད་ཆད་བུ་བྱོནམ་ད་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་སྟོབས་ཤུགས་དང་དབང་ཐོབ་ནི་ཨིན་དེ་ལས་རྒྱལ་སར་ཡེ་རུ་ཤ་ལེམ་དང་ལུང་ཕྱོགས་ཡུ་དེ་ཡ་ལུང་ཕྱོག་རེགས་མཱིར་ཡ་དེ་ལས་འཛམ་མིང་གྱི་མཐའན་རཇུ་ཚུན་ཚོད་ཁྱེད་ཆ་ཁྱབ་ངེ་གི་འཛུམ་དཔང་བཤད་མི་སྦེ་འགྱུང་ནི་ཨིན་ཟེར་གསུངས་ནུག་ཁོ་གིས་དེ་གསུང་ཚར་བའི་ཤུལ་ལས་སྐུ་ཚབ་ཚུ་གིས་ཁོ་ལུ་ག་ཅི་སྡོད་པའི་བར་ན་རང་ཁོ་ཡར་ཞིང་ཁམས་ལུ་ཐུབ་བྣམབ་ནུག་དེ་ལས་ཁོང་གི་མི་ཏོག་ཁར་རང་ཡན་ྨོ་ནང་ྒལ་སོང་ནུག་ཁོ་ཡར་ཞིང་ཁམས་ལུ་བྱོན་ས་ཁོང་གི་མཇལ་སྡོདཔ་ད་དེ་འཕྲོ་ལས་སགོ་ལང་ཀརཔ་འགྱོལ་མིའི་མི་གཉིས་ཀིས་ཁོང་གི་སྦོ་ལོགས་ཁར་ལོང་སྡོད་ེ,0.2571,0.1375,36.048,10.548,0.2926
D0005,8 དམ་པའི་ཐུགས་ཉིད་ཁྱེད་གུ་འབྱོནམ་ད་ ཁྱེད་ཆ་ཁྱབ་ཀྱིས་སྟོབས་ཤུགས་དང་དབང་ཐོབ་ནི་ཨིན་ དེ་ལས་རྒྱལ་ས་ ཡེ་རུ་ཤ་ལེམ་དང་ ལུང་ཕྱོགས་ ཡུ་དེ་ཡ་ ལུང་ཕྱོགས་ ས་མ་རི་ཡ་ དེ་ལས་འཛམ་གླིང་གི་མཐའན་མཇུག་ཚུན་ཚོད་ ཁྱེད་ཆ་ཁྱབ་ངེ་གི་འཛོམ་དཔང་ བཤད་མི་སྦེ་འབྱུང་ནི་ཨིན་ཟེར་གསུངས་ནུག 9 ཁོ་གིས་འདི་གསུངས་ཚར་བའི་ཤུལ་ལས་ སྐུ་ཚབ་ཚུ་གིས་ཁོ་ལུ་ མཇལ་སྡོད་པའི་བར་ན་རང་ ཁོ་ཡར་ཞིང་ཁམས་ལུ་འཐུ་བསྣམས་ནུག་ དེ་ལས་ཁོང་གི་མིག་ཏོ་ཁ་རང་ ས་སྨུག་ནང་ཡལ་སོང་ནུག 10 ཁོ་ཡར་ཞིང་ཁམས་ལུ་འབྱོན་ས་ཁོང་གིས་མཇལ་སྡོདཔ་ད་ དེ་འཕྲོ་ལས་བགོ་ལ་དཀརཔོ་གྱོན་མིའི་མི་གཉིས་ཀྱིས་ ཁོང་གི་སྦོ་ལོགས་ཁར་ལོང་སྡོད་དེ།,snr_15db,15.0,དམ་པའི་ཐུགས་ཉིད་ཁྱེད་བུ་བྱོནམ་ད་ཁྱེད་ཆ་ཁྱབ་ཀྱིས་སྟོབས་ཤུགས་དང་དབང་ཐོབ་ནི་ཨིན་དེ་ལས་རྒྱལ་ས་ཡེ་རུ་ཤ་ལེམ་དང་ལུང་ཕྱོགས་ཡུ་དེ་ཡ་ལུང་ཕྱོགས་རེག་མཱིར་ཡ་དེ་ལས་ཟ་མིན་གྱི་མཐའན་རཇུག་ཚུན་ཚོད་ཁྱེད་ཆ་ཁྱབ་ངེ་གི་འཛུམ་དཔང་ཤད་མི་སྦེ་འགྱུར་ནི་ཨིན་ཟེར་གསུངས་ནུག་ཁོ་གིས་འདེ་གསུང་ཚར་བའི་ཤུལ་ལས་སྐུ་ཚབ་ཚུ་གིས་ཁོ་ལུ་ག་ཅི་སྡོད་པའི་བར་ན་རང་ཁོ་ཡར་ཞིང་ཁམས་ལུ་ཐུག་གྣབ་ནུག་དེ་ལས་ཁོང་གི་མི་ཏོག་ཁར་རང་བཞས་ོ་ནང་ཡང་སོང་ནུག་ཁོ་ཡར་ཞིང་ཁམས་ལུ་བྱོན་ས་ཁོང་གི་མཇལ་སྡོདཔ་ད་དེ་འཕྲོ་ལས་སགོ་ལང་ཀརཔ་འགྱོན་མིའི་མི་གམིས་ཀྱིས་ཁོང་གི་སྦོ་ལོགས་ཁར་ལོང་སྡོད་ེ,0.25,0.1394,36.048,10.977,0.3045
